,genes,cluster,p_val,avg_logFC,scores,p_val_adj
63,S1PR5,1,0.11008645766331218,4.728124618530273,1.5978046655654907,0.9969542061523582
64,TRBC1,1,0.11516424944119541,1.0742769241333008,1.5753995180130005,0.9969542061523582
65,SAMD3,1,0.11875136503959899,2.8407857418060303,1.560036063194275,0.9969542061523582
66,RNF213,1,0.11966169152418515,1.4323395490646362,1.5561951398849487,0.9969542061523582
67,MT-RNR1,1,0.12810249997479997,0.9933198094367981,1.5216273069381714,0.9969542061523582
68,RPL38,2,0.002705245144064813,1.6542421579360962,2.9993858337402344,0.9964436891492148
69,IL7R,2,0.01061415132311119,1.541677474975586,2.5551517009735107,0.9964436891492148
70,RPS2P46,2,0.0220495072192737,1.0630327463150024,2.2895140647888184,0.9964436891492148
71,RPL7A,2,0.02669066296904157,1.125647783279419,2.2160122394561768,0.9964436891492148
72,RPL7,2,0.042718159504450647,0.9119105935096741,2.0264551639556885,0.9964436891492148
73,RPS10,2,0.04439559686756695,0.6966882944107056,2.010336399078369,0.9964436891492148
74,RPL5,2,0.06415765905948378,0.9459363222122192,1.851082682609558,0.9964436891492148
75,RPL22,2,0.07112781728520788,0.9019424319267273,1.8046605587005615,0.9964436891492148
76,BIVM-ERCC5,2,0.07621748886011623,3.0155868530273438,1.7730677127838135,0.9964436891492148
77,UBR5,2,0.10230058040893025,3.263735055923462,1.6338013410568237,0.9964436891492148
78,CCR7,2,0.10421055922294264,2.095449924468994,1.6247748136520386,0.9964436891492148
79,TRBC2,2,0.10968081244011003,0.7642665505409241,1.5996294021606445,0.9964436891492148
80,RPL15,2,0.11672220552973656,0.5391941666603088,1.5686813592910767,0.9964436891492148
81,BTF3,2,0.12052767691702017,1.1678427457809448,1.5525625944137573,0.9964436891492148
82,TRBC1,2,0.1277827326067689,1.0149520635604858,1.5229039192199707,0.9964436891492148
83,RPS3AP6,2,0.13137049861669017,0.7499865889549255,1.5087194442749023,0.9964436891492148
84,HNRNPDL,2,0.13587982906026763,1.2559512853622437,1.4913110733032227,0.9964436891492148
85,DGKA,2,0.14921494524967283,1.681322455406189,1.4423099756240845,0.9964436891492148
86,ERCC5,2,0.15568232055892628,2.282993793487549,1.4197436571121216,0.9964436891492148
87,DDX17,2,0.16313699514108482,1.089971899986267,1.394598364830017,0.9964436891492148
88,RPL21P119,2,0.1658776891563014,1.2676678895950317,1.385571837425232,0.9964436891492148
89,RPL21P16,2,0.1658776891563014,1.2676678895950317,1.385571837425232,0.9964436891492148
90,RPL21P75,2,0.1658776891563014,1.2676678895950317,1.385571837425232,0.9964436891492148
91,DDX3X,2,0.1670628192328365,2.789930582046509,1.38170325756073,0.9964436891492148
92,RPL14,2,0.17698055294017379,0.5601511597633362,1.350110411643982,0.9964436891492148
93,EIF4B,2,0.17843245551337894,1.1424835920333862,1.3455971479415894,0.9964436891492148
94,SERF2,2,0.1839028578580909,0.6110069155693054,1.3288336992263794,0.9964436891492148
95,SSU72,2,0.19432666314909341,1.9944626092910767,1.297885537147522,0.9964436891492148
96,RPL6,3,0.0012619861580864672,1.6934423446655273,3.224486827850342,0.9990239867670291
97,TRAC,3,0.0036580664124282606,1.96394944190979,2.9062349796295166,0.9990239867670291
98,RPS3AP5,3,0.013867313288310637,1.8896137475967407,2.4606821537017822,0.9990239867670291
99,RPS15,3,0.01912047380688697,1.1743513345718384,2.3431737422943115,0.9990239867670291
100,NPIPB4,3,0.02631923546641638,3.2875583171844482,2.221468687057495,0.9990239867670291
101,RBM39,3,0.02737835345228034,1.5995956659317017,2.206080675125122,0.9990239867670291
