barcodes,UMI,cell
931,192,noise
932,192,noise
933,192,noise
934,192,noise
935,192,noise
936,191,noise
937,191,noise
938,191,noise
939,191,noise
940,191,noise
941,191,noise
942,191,noise
943,191,noise
944,191,noise
945,191,noise
946,191,noise
947,191,noise
948,191,noise
949,190,noise
950,190,noise
951,190,noise
952,190,noise
953,190,noise
954,190,noise
955,190,noise
956,190,noise
957,190,noise
958,189,noise
959,189,noise
960,189,noise
961,189,noise
962,189,noise
963,189,noise
964,189,noise
965,188,noise
966,188,noise
967,188,noise
968,188,noise
969,188,noise
970,188,noise
971,188,noise
972,187,noise
973,187,noise
974,187,noise
975,187,noise
976,187,noise
977,187,noise
978,186,noise
979,186,noise
980,186,noise
981,186,noise
982,186,noise
983,186,noise
984,186,noise
985,186,noise
986,185,noise
987,185,noise
988,185,noise
989,185,noise
990,185,noise
991,185,noise
992,184,noise
993,184,noise
994,184,noise
995,184,noise
996,184,noise
997,184,noise
998,184,noise
999,183,noise
1000,183,noise
1001,183,noise
1002,183,noise
1003,183,noise
1004,183,noise
1005,183,noise
1006,183,noise
1007,182,noise
1008,182,noise
1009,182,noise
1010,182,noise
1011,182,noise
1012,182,noise
1013,182,noise
1014,182,noise
1015,181,noise
1016,181,noise
1017,181,noise
1018,181,noise
1019,181,noise
1020,181,noise
1021,181,noise
1022,181,noise
1023,181,noise
1024,181,noise
1025,181,noise
1026,181,noise
1027,181,noise
1028,181,noise
1029,181,noise
1030,180,noise
1031,180,noise
1032,180,noise
1033,180,noise
1034,180,noise
1035,179,noise
1036,179,noise
1037,179,noise
1038,179,noise
1039,179,noise
1040,179,noise
1041,179,noise
1042,179,noise
1043,179,noise
1044,179,noise
1045,179,noise
1046,178,noise
1047,178,noise
1048,178,noise
1049,178,noise
1050,178,noise
1051,178,noise
1052,178,noise
1053,178,noise
1054,177,noise
1055,177,noise
1056,177,noise
1057,177,noise
1058,177,noise
1059,177,noise
1060,177,noise
1061,177,noise
1062,177,noise
1063,177,noise
1064,177,noise
1065,177,noise
1066,177,noise
1067,176,noise
1068,176,noise
1069,176,noise
1070,176,noise
1071,176,noise
1072,176,noise
1073,176,noise
1074,176,noise
1075,175,noise
1076,175,noise
1077,175,noise
1078,175,noise
1079,175,noise
1080,175,noise
1081,175,noise
1082,175,noise
1083,175,noise
1084,175,noise
1085,174,noise
1086,174,noise
1087,174,noise
1088,174,noise
1089,174,noise
1090,174,noise
1091,174,noise
1092,174,noise
1093,174,noise
1094,174,noise
1095,174,noise
1096,173,noise
1097,173,noise
1098,173,noise
1099,173,noise
1100,173,noise
1101,173,noise
1102,173,noise
1103,173,noise
1104,173,noise
1105,173,noise
1106,173,noise
1107,172,noise
1108,172,noise
1109,172,noise
1110,172,noise
1111,172,noise
1112,172,noise
1113,172,noise
1114,172,noise
1115,171,noise
1116,171,noise
1117,171,noise
1118,171,noise
1119,171,noise
1120,171,noise
1121,171,noise
1122,171,noise
1123,171,noise
1124,171,noise
1125,171,noise
1126,171,noise
1127,171,noise
1128,171,noise
1129,170,noise
1130,170,noise
1131,170,noise
1132,170,noise
1133,170,noise
1134,170,noise
1135,170,noise
1136,170,noise
1137,170,noise
1138,169,noise
1139,169,noise
1140,169,noise
1141,169,noise
1142,169,noise
1143,169,noise
1144,169,noise
1145,169,noise
1146,169,noise
1147,169,noise
1148,169,noise
1149,169,noise
1150,169,noise
1151,169,noise
1152,169,noise
1153,169,noise
1154,169,noise
1155,169,noise
1156,169,noise
1157,168,noise
1158,168,noise
1159,168,noise
1160,168,noise
1161,168,noise
1162,168,noise
1163,168,noise
1164,168,noise
1165,168,noise
1166,168,noise
1167,168,noise
1168,168,noise
1169,168,noise
1170,168,noise
1171,168,noise
1172,168,noise
1173,168,noise
1174,167,noise
1175,167,noise
1176,167,noise
1177,167,noise
1178,167,noise
1179,167,noise
1180,167,noise
1181,166,noise
1182,166,noise
1183,166,noise
1184,166,noise
1185,166,noise
1186,166,noise
1187,166,noise
1188,166,noise
1189,166,noise
1190,166,noise
1191,166,noise
1192,166,noise
1193,166,noise
1194,166,noise
1195,166,noise
1196,165,noise
1197,165,noise
1198,165,noise
1199,165,noise
1200,165,noise
1201,165,noise
1202,165,noise
1203,165,noise
1204,165,noise
1205,164,noise
1206,164,noise
1207,164,noise
1208,164,noise
1209,164,noise
1210,164,noise
1211,164,noise
1212,164,noise
1213,163,noise
1214,163,noise
1215,163,noise
1216,163,noise
1217,163,noise
1218,163,noise
1219,163,noise
1220,163,noise
1221,162,noise
1222,162,noise
1223,162,noise
1224,162,noise
1225,162,noise
1226,162,noise
1227,162,noise
1228,162,noise
1229,162,noise
1230,162,noise
1231,162,noise
1232,162,noise
1233,161,noise
1234,161,noise
1235,161,noise
1236,161,noise
1237,161,noise
1238,161,noise
1239,161,noise
1240,161,noise
1241,161,noise
1242,161,noise
1243,161,noise
1244,161,noise
1245,161,noise
1246,161,noise
1247,161,noise
1248,161,noise
1249,161,noise
1250,161,noise
1251,161,noise
1252,161,noise
1253,160,noise
1254,160,noise
1255,160,noise
1256,160,noise
1257,160,noise
1258,160,noise
1259,160,noise
1260,160,noise
1261,160,noise
1262,160,noise
1263,160,noise
1264,160,noise
1265,160,noise
1266,160,noise
1267,159,noise
1268,159,noise
1269,159,noise
1270,159,noise
1271,159,noise
1272,159,noise
1273,159,noise
1274,159,noise
1275,159,noise
1276,159,noise
1277,159,noise
1278,159,noise
1279,158,noise
1280,158,noise
1281,158,noise
1282,158,noise
1283,158,noise
1284,158,noise
1285,158,noise
1286,158,noise
1287,157,noise
1288,157,noise
1289,157,noise
1290,157,noise
1291,157,noise
1292,157,noise
1293,157,noise
1294,157,noise
1295,157,noise
1296,157,noise
1297,156,noise
1298,156,noise
1299,156,noise
1300,156,noise
1301,156,noise
1302,156,noise
1303,156,noise
1304,156,noise
1305,155,noise
1306,155,noise
1307,155,noise
1308,155,noise
1309,155,noise
1310,155,noise
1311,155,noise
1312,155,noise
1313,155,noise
1314,155,noise
1315,155,noise
1316,155,noise
1317,155,noise
1318,155,noise
1319,154,noise
1320,154,noise
1321,154,noise
1322,154,noise
1323,154,noise
1324,154,noise
1325,154,noise
1326,154,noise
1327,154,noise
1328,153,noise
1329,153,noise
1330,153,noise
1331,153,noise
1332,153,noise
1333,153,noise
1334,153,noise
1335,153,noise
1336,153,noise
1337,152,noise
1338,152,noise
1339,152,noise
1340,152,noise
1341,152,noise
1342,152,noise
1343,152,noise
1344,151,noise
1345,151,noise
1346,151,noise
1347,151,noise
1348,151,noise
1349,151,noise
1350,151,noise
1351,151,noise
1352,151,noise
1353,150,noise
1354,150,noise
1355,150,noise
1356,150,noise
1357,150,noise
1358,150,noise
1359,150,noise
1360,150,noise
1361,150,noise
1362,149,noise
1363,149,noise
1364,149,noise
1365,149,noise
1366,149,noise
1367,149,noise
1368,149,noise
1369,149,noise
1370,148,noise
1371,148,noise
1372,148,noise
1373,148,noise
1374,148,noise
1375,148,noise
1376,148,noise
1377,148,noise
1378,148,noise
1379,148,noise
1380,148,noise
1381,148,noise
1382,148,noise
1383,148,noise
1384,147,noise
1385,147,noise
1386,147,noise
1387,147,noise
1388,147,noise
1389,147,noise
1390,147,noise
1391,147,noise
1392,147,noise
1393,147,noise
1394,147,noise
1395,147,noise
1396,147,noise
1397,147,noise
1398,147,noise
1399,147,noise
1400,146,noise
1401,146,noise
1402,146,noise
1403,146,noise
1404,146,noise
1405,146,noise
1406,146,noise
1407,146,noise
1408,146,noise
1409,146,noise
1410,146,noise
1411,146,noise
1412,145,noise
1413,145,noise
1414,145,noise
1415,145,noise
