barcodes,UMI,cell
925,316,noise
926,316,noise
927,316,noise
928,316,noise
929,316,noise
930,316,noise
931,316,noise
932,316,noise
933,316,noise
934,316,noise
935,316,noise
936,316,noise
937,316,noise
938,316,noise
939,316,noise
940,316,noise
941,315,noise
942,315,noise
943,314,noise
944,314,noise
945,314,noise
946,313,noise
947,313,noise
948,313,noise
949,313,noise
950,313,noise
951,313,noise
952,312,noise
953,312,noise
954,312,noise
955,312,noise
956,312,noise
957,312,noise
958,312,noise
959,312,noise
960,312,noise
961,312,noise
962,311,noise
963,311,noise
964,311,noise
965,311,noise
966,311,noise
967,311,noise
968,311,noise
969,311,noise
970,311,noise
971,311,noise
972,310,noise
973,310,noise
974,310,noise
975,310,noise
976,310,noise
977,310,noise
978,309,noise
979,309,noise
980,309,noise
981,309,noise
982,309,noise
983,308,noise
984,308,noise
985,308,noise
986,308,noise
987,308,noise
988,307,noise
989,307,noise
990,307,noise
991,307,noise
992,307,noise
993,306,noise
994,306,noise
995,306,noise
996,306,noise
997,306,noise
998,306,noise
999,306,noise
1000,306,noise
1001,306,noise
1002,305,noise
1003,305,noise
1004,305,noise
1005,305,noise
1006,305,noise
1007,304,noise
1008,304,noise
1009,304,noise
1010,304,noise
1011,304,noise
1012,304,noise
1013,304,noise
1014,303,noise
1015,303,noise
1016,303,noise
1017,303,noise
1018,303,noise
1019,303,noise
1020,303,noise
1021,303,noise
1022,302,noise
1023,302,noise
1024,302,noise
1025,302,noise
1026,302,noise
1027,302,noise
1028,302,noise
1029,302,noise
1030,302,noise
1031,302,noise
1032,302,noise
1033,302,noise
1034,301,noise
1035,301,noise
1036,301,noise
1037,301,noise
1038,301,noise
1039,301,noise
1040,300,noise
1041,300,noise
1042,300,noise
1043,300,noise
1044,300,noise
1045,300,noise
1046,300,noise
1047,300,noise
1048,299,noise
1049,299,noise
1050,299,noise
1051,299,noise
1052,299,noise
1053,299,noise
1054,299,noise
1055,298,noise
1056,298,noise
1057,298,noise
1058,298,noise
1059,298,noise
1060,297,noise
1061,297,noise
1062,297,noise
1063,297,noise
1064,297,noise
1065,297,noise
1066,296,noise
1067,296,noise
1068,296,noise
1069,296,noise
1070,296,noise
1071,296,noise
1072,296,noise
1073,296,noise
1074,295,noise
1075,295,noise
1076,295,noise
1077,295,noise
1078,294,noise
1079,294,noise
1080,294,noise
1081,294,noise
1082,293,noise
1083,293,noise
1084,293,noise
1085,293,noise
1086,293,noise
1087,293,noise
1088,293,noise
1089,292,noise
1090,292,noise
1091,292,noise
1092,292,noise
1093,292,noise
1094,292,noise
1095,292,noise
1096,291,noise
1097,291,noise
1098,291,noise
1099,291,noise
1100,291,noise
1101,291,noise
1102,290,noise
1103,290,noise
1104,290,noise
1105,290,noise
1106,290,noise
1107,290,noise
1108,290,noise
1109,289,noise
1110,289,noise
1111,289,noise
1112,289,noise
1113,289,noise
1114,289,noise
1115,289,noise
1116,289,noise
1117,288,noise
1118,288,noise
1119,287,noise
1120,287,noise
1121,287,noise
1122,287,noise
1123,287,noise
1124,287,noise
1125,286,noise
1126,286,noise
1127,286,noise
1128,286,noise
1129,286,noise
1130,286,noise
1131,286,noise
1132,285,noise
1133,285,noise
1134,285,noise
1135,285,noise
1136,285,noise
1137,285,noise
1138,284,noise
1139,284,noise
1140,284,noise
1141,284,noise
1142,284,noise
1143,284,noise
1144,284,noise
1145,284,noise
1146,284,noise
1147,284,noise
1148,283,noise
1149,283,noise
1150,283,noise
1151,283,noise
1152,282,noise
1153,282,noise
1154,282,noise
1155,282,noise
1156,282,noise
1157,282,noise
1158,282,noise
1159,282,noise
1160,281,noise
1161,281,noise
1162,281,noise
1163,281,noise
1164,281,noise
1165,281,noise
1166,280,noise
1167,280,noise
1168,280,noise
1169,280,noise
1170,280,noise
1171,280,noise
1172,279,noise
1173,279,noise
1174,279,noise
1175,279,noise
1176,279,noise
1177,279,noise
1178,279,noise
1179,279,noise
1180,279,noise
1181,279,noise
1182,279,noise
1183,278,noise
1184,278,noise
1185,278,noise
1186,278,noise
1187,278,noise
1188,278,noise
1189,278,noise
1190,278,noise
1191,278,noise
1192,277,noise
1193,277,noise
1194,277,noise
1195,277,noise
1196,277,noise
1197,277,noise
1198,277,noise
1199,276,noise
1200,276,noise
1201,276,noise
1202,276,noise
1203,276,noise
1204,275,noise
1205,275,noise
1206,275,noise
1207,275,noise
1208,275,noise
1209,275,noise
1210,275,noise
1211,275,noise
1212,274,noise
1213,274,noise
1214,274,noise
1215,274,noise
1216,274,noise
1217,274,noise
1218,274,noise
1219,274,noise
1220,273,noise
1221,273,noise
1222,273,noise
1223,273,noise
1224,273,noise
1225,273,noise
1226,272,noise
1227,272,noise
1228,272,noise
1229,272,noise
1230,272,noise
1231,272,noise
1232,272,noise
1233,271,noise
1234,271,noise
1235,271,noise
1236,271,noise
1237,271,noise
1238,271,noise
1239,271,noise
1240,271,noise
1241,271,noise
1242,271,noise
1243,271,noise
1244,271,noise
1245,270,noise
1246,270,noise
1247,270,noise
1248,270,noise
1249,270,noise
1250,270,noise
1251,270,noise
1252,270,noise
1253,269,noise
1254,269,noise
1255,269,noise
1256,269,noise
1257,269,noise
1258,268,noise
1259,268,noise
1260,268,noise
1261,268,noise
1262,268,noise
1263,268,noise
1264,268,noise
1265,268,noise
1266,268,noise
1267,267,noise
1268,267,noise
1269,267,noise
1270,267,noise
1271,267,noise
1272,266,noise
1273,266,noise
1274,266,noise
1275,266,noise
1276,266,noise
1277,265,noise
1278,265,noise
1279,265,noise
1280,265,noise
1281,265,noise
1282,265,noise
1283,264,noise
1284,264,noise
1285,264,noise
1286,264,noise
1287,264,noise
1288,263,noise
1289,263,noise
1290,263,noise
1291,263,noise
1292,263,noise
1293,263,noise
1294,263,noise
1295,262,noise
1296,262,noise
1297,262,noise
1298,261,noise
1299,261,noise
1300,261,noise
1301,261,noise
1302,261,noise
1303,261,noise
1304,260,noise
1305,260,noise
1306,260,noise
1307,260,noise
1308,260,noise
1309,260,noise
1310,260,noise
1311,260,noise
1312,260,noise
1313,260,noise
1314,260,noise
1315,259,noise
1316,259,noise
1317,259,noise
1318,259,noise
1319,258,noise
1320,258,noise
1321,258,noise
1322,258,noise
1323,257,noise
1324,257,noise
1325,257,noise
1326,257,noise
1327,257,noise
1328,256,noise
1329,256,noise
1330,256,noise
1331,256,noise
1332,256,noise
1333,256,noise
1334,255,noise
1335,255,noise
1336,255,noise
1337,255,noise
1338,254,noise
1339,254,noise
1340,254,noise
1341,254,noise
1342,254,noise
1343,254,noise
1344,254,noise
1345,254,noise
1346,253,noise
1347,253,noise
1348,253,noise
1349,253,noise
1350,253,noise
1351,253,noise
1352,252,noise
1353,252,noise
1354,252,noise
1355,251,noise
1356,251,noise
1357,251,noise
1358,251,noise
1359,251,noise
1360,251,noise
1361,251,noise
1362,251,noise
1363,250,noise
1364,250,noise
1365,250,noise
1366,250,noise
1367,250,noise
1368,250,noise
1369,250,noise
1370,249,noise
1371,249,noise
1372,249,noise
1373,249,noise
1374,249,noise
1375,249,noise
1376,249,noise
1377,249,noise
1378,249,noise
1379,249,noise
1380,249,noise
1381,249,noise
1382,248,noise
1383,248,noise
1384,248,noise
1385,248,noise
1386,248,noise
1387,248,noise
1388,248,noise
1389,248,noise
1390,248,noise
1391,248,noise
1392,247,noise
1393,247,noise
1394,247,noise
1395,247,noise
1396,247,noise
1397,247,noise
1398,247,noise
1399,247,noise
1400,247,noise
1401,246,noise
1402,246,noise
1403,246,noise
1404,246,noise
1405,246,noise
1406,246,noise
1407,246,noise
1408,246,noise
1409,246,noise
1410,245,noise
1411,245,noise
1412,245,noise
1413,245,noise
1414,245,noise
1415,245,noise
1416,244,noise
1417,244,noise
1418,244,noise
1419,244,noise
1420,244,noise
1421,244,noise
1422,244,noise
1423,244,noise
1424,244,noise
